title,date,content
Aboitiz launches cold storage project for smallholder farmers,"MARCH 17, 2023","IN LINE with its “great transformation” to become the Philippines’ first techglomerate, Aboitiz Group launched Fresh Depot, which seeks to become the first-ever physical and digital solutions platform for farmers in the country.

Its first phase involves piloting a modular and sustainable cold storage unit in Mankayan, Benguet, with the vision of helping farmers reduce their post-harvest losses and maximize crop yield.

“Fresh Depot aims to transform the lives of our farmers by offering a platform that optimizes their yield and income while reducing waste, making a significant contribution to our country’s food security,” said Aboitiz Group President and Chief Executive Officer (CEO) Sabin Aboitiz.

“Uplifting the agricultural sector and our farmers is crucial to

strengthening our food supply chain and reducing our reliance on imports. We see various opportunities to make an impact in this sector and this is just one of the many projects we’re working on,” he added.

According to a study by the Institute of Food Science and Technology of the University of the Philippines Los Baños, about 42 percent of locally grown produce goes bad before it can be eaten, and farmers, consumers, and other supply chain players are suffering for it.

In 2020, the Department of Agriculture (DA) underscored the need to establish more cold storage facilities in the country. This was echoed by the Philippine Chamber of Agriculture and Food Inc. (PCAFI), highlighting that it can reduce post-harvest losses and improve farmers’ income.

In the Philippines, however, most cold storage facilities are located near urban areas and are used for storing meat and other frozen products. These conventional, energy-guzzling cold storages are not built for farmers, who need farm-level and affordable cooling facilities for their crops.

In addition to offering sustainable modular cold storage, Fresh Depot’s second phase will involve digitizing farmers’ land, and planting practices, pre-harvest, harvest, and market information. Digitization will allow Fresh Depot to offer advisory services, explore market linkage opportunities and financial inclusion programs, as well as build a database of information that the government can utilize for their agricultural programs.

This pilot, which will initially run for three to six months, will become a case study for this new type of enterprise, which Aboitiz hopes to scale up across other farm locations in the Philippines if proven viable. Ultimately, Fresh Depot is envisioned to assist the government in enabling millions of farmers.

Among those in attendance during its pilot launch in Mankayan were Benguet Provincial Governor Melchor D. Diclas, Mankayan Mayor Dario Banario, Department of Agriculture-Cordillera Administrative Region Regional Technical Director for Operations Engr. Danilo Daguio, Nueva Vizcaya Agricultural Terminal (NVAT) Chairman James P. Estong, NVAT General Manager Gilbert Cumila, EcoZen Solutions President Ravindra Dolare, Hedcor President and COO Rolando Pacquiao, and Aboitiz Equity Ventures Vice President for Transformation Dea Franko Csuba.

Aboitiz is planning to launch a second pilot location in the next few weeks.

Collaborating with local players and global experts

With the support of government units and agencies, Fresh Depot is working with Mankayan’s Manpat-A Farmers Association for its first pilot site of the cold storage unit. The Benguet region is home to quality highland crops and thousands of farmers.

For its pilot project, Fresh Depot is also collaborating with two leading international agri-tech players: Ecozen Solutions Pvt. Ltd., which is backed by Nuveen global impact fund USA and Exim Bank of Government of India; and Cropin Technology Solutions Pvt. Ltd., which is backed by Impact Assets Singapore, as one of its investors.

Ecozen manufactured the modular hybrid cold storage unit called Ecofrost. Ecofrost is designed with climate-smart deep tech to harness solar energy to power the unit, with a proprietary technology for battery-less back-up, which after pre-cooling will keep the fresh produce market-ready 24/7.

Meanwhile, Cropin’s services include farm monitoring and management and an easy-to-use, seamless communication solution connecting farmers, agri-businesses, and field officers and helping digitize farm activities. With its presence in 92 countries, the company is known for creating the world’s first industry cloud for agriculture, Cropin Cloud, which helps the agricultural ecosystem make informed decisions that increase farming efficiency, improve productivity, manage risk and environmental changes, and enhance sustainability.

These separate solutions have been tested and proven effective in other parts of the world, such as India, Kenya, and Nigeria. Fresh Depot’s pilot will allow participant farmers to experience how technology has improved agriculture in other developing countries during the period and help future-proof the industry to make it more resilient to emerging threats and challenges.

Moreover, Fresh Depot has been selected by the Basel Agency for Sustainable Energy (Base), a Swiss foundation and Specialized Partner of the United Nations Environment, to participate in a three-month international Incubator Program.

Fresh Depot was selected along with four other global companies that are making decentralized solar-powered cooling accessible to farmers on a pay-per-use basis instead of traditional methods. The Incubator will support Fresh Depot in digitizing inventory management and monitoring the shelf-life of stored crops in real time through an app.

Great transformation in action

Fresh Depot is an innovative solution that has been developed as part of Aboitiz Group's Voyage Program, an internal initiative that aims to discover the most effective solutions to social challenges worldwide.

Other initiatives being developed under the program cover a range of sectors, including food and agriculture, power, infrastructure, education, health, real estate, and manufacturing.

Similar to other business ventures of Aboitiz, the Voyage Program initiatives are aligned with the United Nations' Sustainable Development Goals (UN SDGs).

Fresh Depot specifically aims to address UN SDGs 12 (Responsible Consumption and Production), 9 (Industry, Innovation, and Infrastructure), 13 (Climate Action), and 17 (Partnerships for the Goals). (PR)"
"DSWD, Abra LGU extend cash aid to 2,800 solo parents","MARCH 12, 2023","DEPARTMENT of Social Welfare and Development (DSWD) Secretary Rex Gatchalian has reaffirmed the agency’s commitment to look after the protection and well-being of solo parents in the country during his first official visit to Abra province.

According to a DSWD news release issued Thursday, Gatchalian made the commitment Wednesday after leading the distribution of P2,000 in cash assistance to some 2,850 solo parents from 27 municipalities in the province.

In his speech, Gatchalian said that as a former three-term mayor of Valenzuela City, he had seen the work and the hardships encountered by solo parents, and their need for assistance.

“They toil to earn a living and at the same time, care for their children, with many having no other support,” he said.

“Ang panata namin sa DSWD, aalagaan ang solo parents, hindi lamang dito sa Abra, kundi sa buong Pilipinas. Maraming bagong programa ang ilalabas sa darating na buwan (Our vow in DSWD is to take care of solo parents, not just here in Abra, but in the entire Philippines. There will be new programs that will be implemented in the coming months),” the DSWD Secretary said.

The assistance is in line with the enactment of RA 11861 as amended, which mandates the provision of adequate social protection programs for solo parents from the government.

Gatchalian lauded the province of Abra for having an organized solo parents group, noting the province’s advanced initiatives for the sector.

He said that the DSWD will continue to partner with Abra and other local government units (LGUs) for the provision of assistance to the sector, especially with the implementation of the new law on solo parents.

Abra Governor Dominic Valera hosted the activity and welcomed the DSWD delegation headed by Gatchalian, along with Undersecretary Denise Florence Bragas and DSWD Cordillera Administrative Region (DSWD-CAR) Director Leo Quintilla.

DSWD facilities inspection

During his visit, Gatchalian also conducted an ocular inspection of the DSWD satellite office as well as the agency’s warehouse in the province to check and ensure the availability of food and non-food items in cases of calamities and disasters.

He, likewise, visited the Bahay Pag-asa center for children in conflict with the law, which is a facility managed by the LGU.

Gatchalian also took the opportunity to personally express his appreciation to the the staff of DSWD-Field Office CAR, especially those assigned in Abra for their continued compassionate service to the locals.

Since his appointment in Jan. 31, Gatchalian has been visiting the different facilities of the DSWD across the country in line with his goal of improving these structures to ensure quality public service to the people. (PNA)"
2 Cordilleran women among government service exemplars,"MARCH 11, 2023","TWO Cordilleran women are among the awardees of the Honor Awards Program (HAP) of the Civil Service Commission (CSC) conferred by President Ferdinand R. Marcos Jr. during the awards rites at the Ceremonial Hall in Malacañan Palace on March 8, 2023.

Dr. Annie Claire Pekas of Mountain Province is among the Dangal ng Bayan awardees. Dr. Pekas pioneered the Luis Hora Memorial Regional Hospital’s emergency responder called the ER-26, created its ambulatory surgery unit, established the One Hospital Command of Mountain Province, and performed surgical operations even after her duty hours without claiming remuneration or compensatory days off.

Pekas, now the Provincial Health Officer II, worked at the LHMRH from April 2016 to June 15, 2021.

The Dangal ng Bayan award recognizes public servants' performance of an extraordinary act or public act or public service and consistent demonstration of the eight norms of conduct under code of conduct and ethical standards for public officials and employees.

Meanwhile, Nelly Agpawa Ngangay from Atok, Benguet is part of the Starbooks Team of the Department of Science and Technology Central Office which is among the Presidential Lingkod Bayan awardees. They were recognized for revolutionizing the concept of the library and developing interactive kiosk, promoting science, technology, engineering and mathematics.

The Presidential Lingkod Bayan award is the highest award given to public servants for exceptional or extraordinary contributions that had nationwide impact on public interest.

An annual activity of the CSC, the HAP aims to recognize and reward public service exemplars, as well as motivate or inspire civil servants, to improve the quality of their performance and instill deeper involvement in public service. (PIA)"
DILG issues guidelines on Cordi LGUs to boost implementation on ‘Bida’ program,"MARCH 10, 2023","THE Department of the Interior and Local Government (DILG) Cordillera issued guidelines to Cordillera local governments to boost their implementation of the Buhay Ingatan, Droga’y Ayawan (Bida) program to create a lasting impact towards the reduction and proliferation of illegal drugs in communities within the region.

The Bida program implements a two-pronged approach, namely drug supply and demand reduction that works in synergy with community engagement of CSO partners, non-government agencies (NGAs), the local government units (LGUs) and the entire DILG.

“With the strong partnership of the stakeholders in working and advocating the attainment of the objective of the Bida program, we hope to be of great contribution in empowering the communities, enjoining LGUs in anti-illegal drugs activities and raising public awareness of the ill effects of the use of illegal drugs,” said Regional Director Araceli San Jose.

She underscored that the program encourages people to stay away from drugs, and destigmatizing drug dependence and addiction by providing access to recovery and rehabilitation that aims to raise awareness on the ill effects of dangerous drugs through information, education and communication (IEC), promote health and wellness, strengthen institutions in the implementation of drug supply and demand reduction activities and encourage multi-sectoral participation.

“Guided by the Philippine Anti-Illegal Drug Strategy (PADS), this program is the Department’s medium-to long term program, in the national campaign against illegal drugs,” she added.

The BIDA program seeks to improve the quality of life and safeguard the Filipino people from criminality and the ill effects of illegal drugs, in a manner that is within the framework of law and with respect for human rights. It focuses on the pillars of prevention, law enforcement, prosecution and correction, and rehabilitation, wellness, and reintegration.

“We call for the active support of LGUs, law enforcement agencies, civil society and faith-based organizations, NGAs and other stakeholders in advocating for drug supply and demand reduction,” RD San Jose added.

LGUs’ participation

RD San Jose said that the LGUs should be given flexibility as to the execution of the activities such as multisectoral meetings and conferences, declaration of drug-free status for LGUs, seminars, webinars, symposiums, and/or fora on drug prevention, fun runs, bike runs, caravans, sports fests, concerts/ music festivals, presentation of graduates of Community-Based Drug Rehabilitation Program (CBDRP) and recovery wellness programs, showcase of products from rehabilitation facilities and NGA programs and services catered to recovering Persons Who Use Drugs (PWUDs), and their families, inauguration of Special Drug Education Center (SDEC) and rehabilitation centers, implementation of youth-initiated activities and competitions and other similar activities under the banner of Bida.

“The LGUs are in the forefront of this effort and are expected to implement year-round, consistent, and sustained programs, projects, and activities towards the operationalization and institutionalization of the Bida program,” she said.

Adding, “The local chief executives (LCEs) should lead the implementation of the program and mobilize the various departments and offices in the LGUs including those in the Anti-Drug Abuse Council (Adac) and other key stakeholders,” she said.

DILG’s Bida program

Based on the Bidainstitutional framework, the interior sector of DILG should be in charge of supply reduction where the Philippine National Police (PNP) is the primary actor, while the Local Government Sector should be in charge mainly of the demand reduction initiatives where the rehabilitation and reintegration program, as well as drug preventive education and advocacy programs provided by the Department attached agencies, may come in synergy.

In Cordillera, the Department has launched the Bida program on November 28, 2022 where all concerned offices and agencies pledged their commitment to the program implementation.

Meanwhile, on the sideline of Bida Caravan, fifty-four Anti-Drug Abuse Councils (Adacs) in the region were recognized by the Department as best performing Adacs during the Awarding of Best Performing Local Government Units cum Buhay Ingatan, Droga'y Ayawan Caravan held last February 8, 2023.

As of today, she said that the Department continues to actively implement programs for anti-illegal drugs in the region through the CBDRP, SDEC, Barangay Anti-Drug Abuse Council (Badacs), Adacs and Inter-Agency Committee on Anti-Illegal Drugs (Icad) Advocacy Cluster Meetings. (PR)"
RGADC highlights collective action for women empowerment,"MARCH 09, 2023","WITH the theme, ""WE for gender equality and inclusive society"", Apayao Governor and RDC-Cordillera chairperson Elias Bulut, Jr. stressed the importance of collective action in achieving women empowerment.

He said women and girls continue to face discrimination, harassment and violence which are serious issues that must addressed through the implementation of programs that promote gender equality and inclusivity.

""This is not just a women issue, it affects us all. The struggle of equality in respecting women's right is not a matter that should be left for women to do. We must all do our part,"" Bulut stressed.

Bulut underlined the need to change cultural attitude towards women and marginalized groups and create a culture that values diversity and inclusion. He also underscored that the quest for equality is a two-way street and ""women should not be left to do all the heavy lifting, men should exert the same, if not, more effort.""

In the Cordillera region, there are progress in achieving gender equality and inclusivity but much works are still needed to be done, he said.

""The road ahead is long and winding so we must not waver.. We must continue to advocate for policies and programs that promotes gender equality and inclusivity, and ensure that they are effectively implemented. We must also work to change cultural attitudes that perpetuate discrimination and inclusion, and promote a culture of respect, empathy and understanding,"" Bulut said.

Department of Social Welfare and Development -CAR Regional Director and RGADC Chairperson Leo Quintilla, meanwhile, reiterated that the purpose of the National Women's Month celebration is to inform and engage women and everyone to push for gender sensitive, responsive government programs and services that empower women to contribute to nation building.

Quintilla said this year's theme calls for empowerment of women and girls towards maximizing their benefit from innovation and technology. Inclusion of women and other marginalized group in technology results in more creative solutions and greater opportunities for gender equality and meeting women's need.

""The purpose of this event is also to inspire women and girls to empower themselves to take on leadership roles, opportunities, and benefits towards maximizing their full potential and enabling them to reap the fruits of greater equality. It's a recognition and celebration of women and girls who are championing the advancement of transformative technology and digital education,"" Quintilla said.

He also enjoined the various stakeholders to conduct activities in line with this year's campaign including the #purplewednesdays or the wearing of purple themed attire every Wednesday of the whole month of March.

""We begin this new era of the National Women's Month celebration with the hope and ambition that WE, Women and Everyone, are all for gender equality, WE are for an inclusive society,"" Quintilla ended.

Also in attendance in the Kapihan are RGADC Co-Chair Ferdinand Gonzales, Commission on Population and Development-Cordillera Director Cecile Basawil, Civil Service Commission-Cordillera Director Nerissa Canguilan, PCpt. Jovelyn Awingan from the Police Regional Office-Cordillera, and Denia Tarnate and Jonalyn Amrona from the Department of Education-Cordillera. (PR)"
2023 Kawayan Fest Trade Fair open until March 9,"MARCH 08, 2023","VARIOUS Abrenian local products and native delicacies are showcased at the Asenso Abreño Trade Fair at Abra Sports Complex as one of the highlights of the 9-day celebration of the 2023 Kawayan Festival.

The trade and food fair was officially opened om March 1 by Governor Dominic Valera with the provincial officials, and the Department of Trade and Industry (DTI) led by DTI-Cordillera Assistant Regional Director Atty. Samuel Gallardo.

The event which will run until March 9 is participated by the 27 municipalities with their respective “one-town, one-product” (OTOP) displayed in their own booths, as well as different Abrenian micro, small and medium, enterprises.

Popular local products exhibited in the food fair include soft brooms, freshly harvested honey, sugarcane, muscovado, ballatinaw rice, waray. cascaron, the abel clothe and many more.

The Governor expressed his delight that the provincial government is able to celebrate the Kawayan festival again despite the COVID-19 pandemic and recent earthquakes.

“I’m glad that we are together again this Kawayan Festival after the pandemic and the earthquake last year. We hope that this trade fair will sustain our recovery,” Valera stressed.

Gallardo, meanwhile, implied the essence of this year’s Kawayan festival celebration with the theme “Rambak ti Ballaigi ni Abreño.”

“The Abreños are like our bamboos, may sway, may move, may be blown by the wind but they will never be broken. I see that our festival now has become a better version of what we used to have three years ago,” said Gallardo who once served as Provincial Director of DTI-Abra.

The provincial government in partnership with DTI also sponsored a series of entrepreneurial development seminars at the trade fair venue to give business owners more insights to expand and boost their businesses. (PR)"
Cordillera IP agency told to furnish city list of certificates of ancestral title,"MARCH 06, 2023","CITY officials recently requested the Cordillera office of the National Commission on Indigenous Peoples (NCIP-CAR) to furnish the local legislative body a list of certificates of ancestral land titles (CALTs) applicants within the 139-hectare property of the city government located within barangays Camp 7, Bakakeng Norte, Sto. Tomas Proper, and Sto. Tomas School area, including a composite map determining all ancestral land claims in the said area.

Under Resolution No. 116, series of 2023, local legislators stated that providing a composite map showing the positions and plotting the lots of ancestral land claims as well as the ancestral domain in the area covered by the city-owned property in the said barangays is necessary to determine areas that might be needing negotiations with the ancestral land claimants or there might be areas which are not covered by claims and free so that the local government can proceed with its plans regarding its solid waste management.

Earlier, resource persons from the NCIP-CAR who were invited by the city legislative body manifested that more than 80 hectares out of the 139-hectare city-owned property located in barangays Camp 7, Bakakeng Norte, Sto. Tomas proper and Sto. Tomas School area have been applied for CALTs.

The city government is targeting to use a portion of this city-owned property for various uses, such as the establishment of an engineered sanitary landfill (ESL), socialized housing, among others, to help in decongesting the city’s central business area from development and to maximize the potentials of available lands for public use.

The NCIP is the government agency tasked to accept, process and issue the certificate of ancestral land titles of qualified applicants for the issuance of the same having occupied their lands since time in memorial.

Section 78 of Republic Act 8371 or the Indigenous Peoples Rights Act recognizes the charter of Baguio City, however, all lands acquired through various judicial orders and administrative proceedings shall be respected. (PR)"
"Imee, LGU officials lead groundbreaking of new La Trinidad municipal building","MARCH 05, 2023","LA TRINIDAD town, Benguet will have a new municipal building soon.

Senator Imee Marcos with La Trinidad Mayor Romeo Salda, Vice Mayor Roderick Awingan and other officials and Department of Public Works and Highways representatives led the groundbreaking ceremony for the construction of the new municipal building on Sunday, February 26, 2023.

The Senator facilitated the initial amount of P30 million thru the DPWH for the project.

She said that the old municipal hall of La Trinidad is sentimental to her family as this is where her parents, then President Ferdinand Edralin Marcos Sr. and former First Lady Imelda Romualdez Marcos were married in a civil ceremony in April of 1954.

“Dito nag simula ang kwento ng mga Marcos,” the Senator said sharing story when her parents went to La Trinidad to get married.

Marcos vowed to help secure additional fund for the completion of the new municipal building with total project cost of P184M.

The La Trinidad local government unit earmarked at least P42M for the construction of the new municipal building.

Salda expressed gratitude to the Senator for her support and initial funding for the project which aims to provide better service to the public.

The mayor said that with the increasing number of clients and transactions being made every day, there is a need to upgrade the facilities of the municipality to provide better, faster and more convenient service to clients.

The envisioned new municipal building located at the back of the old municipal hall, expanding to the La Trinidad Vegetable Trading Post area is four-storey structure. The first floor would be utilized by the stall owners and vendors displaced at the trading post area. Three floors would serve of as office spaces for the local government including the Sangguniang Bayan Hall.

The building is expected to be completed by 2025.

Also present during the groundbreaking ceremony are Benguet Governor Melchor Diclas, Cheren Tacio representing Cong. Eric Yap, DPWH Benguet 1st District Engineering Office Assistant District Engineer Edgardo Enriquez, other municipal officials, employees and stakeholders.

The Senator also witnessed the distribution of cash assistance to at least 500 beneficiaries who are mostly farmers, solo parents and persons with disabilities in La Trinidad and met with the Young Farmers Challenge winners at the Benguet State University.

She later graced the Panagbenga Float Parade and also witnessed the distribution of cash assistance to another 500 beneficiaries in Baguio City composed of students and solo parents. (PR)"
Miss Apayao is among 2023 Miss Universe–PH Top 40,"MARCH 04, 2023","THE Miss Universe–Philippines Organization announced that Kristeen Mae Boccang representing the province of Apayao is now part of the Miss Universe–Philippines Top 40.

The organization bared that Kristeen replaces Evangeline Fuentes of Pangasinan who withdrew from the pageant due to health reasons.

“We wish you all the best, Evangeline, and congratulations, Kristeen,” the Miss Universe – Philippines stated

The 23-year-old Kristeen from the municipality of Conner, is the first I-Apayao to join the prestigious pageant. A veteran of beauty pageants, she is the current Dayag ti Apayao 2023 Second Runner Up, and was crowned Binibining Conner Tourism 2022 and the Panagbunga Festival Queen 2017.

Kristeen said she is proud to be part of the Miss Universe – Philippines pageant. She said that this is an opportunity for her to promote the province especially its rich culture and tradition.

“I joined Miss Universe because it was a dream of mine to represent my beautiful province of Apayao and introduce it the rest of the Philippines. It would be the very first time for Apayao to join a national pageant and I hope that by joining I would be able to inspire my fellow yApayao and let other people know of where and what Apayao could offer to everyone,” Kristeen said.

“Apayao is a very rich place and now this serves as an avenue for me to promote Apayao,” she added.

She said that her advocacy is geared on environment and the protection of the rich natural resources of Apayao which is known as the “Cordillera’s Last Frontier of Nature's Richness.” She hopes to intensify the campaign on the traditional lapat system of Apayao or the unwritten law of the Isnag people which is for the seclusion of an area or a property prohibiting anyone to enter, catch or gather any product from the declared area.

Apayao officials led by Governor Elias Bulut Jr., Congresswoman Eleanor Bulut-Betang and the municipal government of Conner assured their full support to the Miss Universe pageant journey of Kristeen. (PR)"
Panagbenga proof of Baguio resilience from crisis,"FEBRUARY 26, 2023","AFTER a three-year hiatus, the revival of the Panagbenga Festival this year is proving this city's resilience from any calamity, the same reason why it was conceptualized nearly 30 years ago.

""After the killer earthquake in 1990, we thought of a festival that the people of Baguio can participate in and they can own which also aims to bring in tourists for the economy to move again,"" said Mauricio Domogan, Baguio Flower Festival Foundation Inc. lifetime chairperson, on the sidelines of the street dancing parade on Saturday.

The first festival in 1996 was a one-day event. It was later extended to one week, further expanded to two weeks, then a month.

Domogan said the staging of the festival this year is as important as the first, considering their similar objectives -- to make the city rise again and uplift the lives of those affected by the crisis, this time the Covid-19 pandemic.

Domogan, who was mayor at the time the flower festival was born, said “the discussion was what to do to make the city recover, for the city to be visited by the tourists again, an activity that will bring the residents to contribute their time and talent for something that will benefit the whole city"".

Domogan was this city's mayor from 1992 to 2001 and from 2010-2019, and congressman from 2001 to 2010.

“With the brains of the festival, Atty. Damaso Bangaoet, the idea of having something similar to the Pasadena rose parade in California was thought of. I gave the word panagbenga which is our native dialect that simply means a time for blooming,” he said.

Panagbenga formally opens on February 1 of each year.

The last weekend of the month is slated for the institutional grand parades followed by the closure of the city’s main thoroughfare for the “Session in Bloom” when the Session Road is converted into a stretch of selling and activity area until the following Sunday for the closing program and awarding of winners in the different competitions.

“We never thought it will come to this magnitude where hundreds of thousands of people come to Baguio for the whole duration, with most of them arriving for the grand parades,” Domogan said.

He admitted, however, that the number of visitors who joined the street dancing on Saturday did not breach the pre-pandemic level.

“Our having the festival this year shows our resiliency in any calamity. That despite the challenges, we stand up to show that we will be okay,” Domogan said.

Baguio City had 1.7 million tourist arrivals from January to October 2022, surpassing the 2019 record of 1.2 million visitors.

The festival partially resumed last year sans crowd-drawing activities like the flower-themed floats due to health protocols, luring 45,000 visitors on its final weekend.

Inspiring tradition, culture

Meanwhile, the street dancing competition, one of the festival highlights, once again showed the rich culture, diverse beliefs and colorful traditions of the Cordillerans.

Among the traditions presented was the cañao, a socio-religious ritual where chickens, pigs and/or carabaos are butchered and feasted on as a thanksgiving to their god, Kabunian.

Ikoshin Miguel, whose group performed a dance number depicting the cañao, explained its importance.

“The legend of cañao, o yung pinakaunang rason kung bakit nagkaroon ang Cordillera ng mga cañao na ginagawa bilang tradisyon kahit man may nangyaring masama o may magandang nangyari, positive or negative. Ito kasi is parang ‘yun ‘yung way naming para mag-pray kay Kabunian (This is the story of how cañao started in the Cordillera as part of its tradition, whether its good or bad. This is our way of praying to Kabunian),” she said.

The last part of their performance, Miguel said, showed the weaving tradition of the six provinces of Cordillera.

She added that in performing for the Panagbenga, they want to show other young people from the province that the art of dancing may also be used as an instrument in showing the richness of their culture.

Two other participants, Lovely May Pesiglagan and Henessy Mang-er from Sagada, Mountain Province, expressed pride in their performance, depicting their belief in mythical creatures, which, they said, is a first for the Panagbenga Festival.

“Our performance is about mythical creatures kung saan sa ilog, tradisyon kasi sa amin na magbato muna ng bato sa water before mag-fetch or mag swimming, we’re going to wait 10 minutes para umalis yung mga anito na tinatawag (where it has been our tradition to throw a stone into the river water before we fetch or swim, then wait for about 10 minutes for the unseen creatures to go away),” Pesiglagan said.

Mang-Er said the first concept they thought of was also Kabunian, but they changed their mind since it is a common theme in Panagbenga performances.

Visitors who went to Baguio to witness the Panagbenga events were left in awe of the street dancing parade performers.

Rolan Afilo, who is vacationing from Dubai, said his family purposely went to this city to experience the Panagbenga.

""Very colorful at tsaka yung effort nila amazing. Hindi matatawaran, so we just said that it's like we're in Brazil. Ang preparation spectacular and I can say na pinaghandaan ng mga tao dito (their effort is amazing. I say that residents have really prepared for this event),"" he said.

The dance groups, mainly composed of young people, said performing their cultural traditions through dances is their way of showing that they love their province and their roots.

EJ Justin Balao and Lea Dodon expressed pride in being Cordillerans.

“Napakasaya namin kasi dati nagka-pandemic, wala ‘yung mga ganitong competition na nasasalihan naming to express our talent. Tsaka mahal namin ang kultura namin (We are so happy because when the pandemic hit the country, the events and competitions stopped so we do not have a venue to show our talents. And also, we love our culture),” Balao said. (PNA)"
